entry_time,exit_time,side,oz,entry_px,exit_px,entry_reason,exit_reason,gross_pnl,costs,net_pnl,bars_held
2025-06-20 14:40:00+00:00,2025-06-20 20:35:00+00:00,long,1.0,3364.26,3368.24,signal,signal,3.9799999999995634,0.16,3.8199999999995633,71
2025-06-23 13:00:00+00:00,2025-06-23 19:55:00+00:00,long,1.0,3380.76,3380.39,signal,signal,-0.3700000000003456,0.16,-0.5300000000003456,83
2025-06-24 20:40:00+00:00,2025-06-24 20:45:00+00:00,long,1.0,3323.82,3324.68,signal,signal,0.8599999999996726,0.16,0.6999999999996727,1
2025-06-25 00:05:00+00:00,2025-06-25 04:40:00+00:00,long,1.0,3322.51,3328.73,signal,signal,6.2199999999998,0.16,6.0599999999998,55
2025-06-26 13:30:00+00:00,2025-06-26 20:25:00+00:00,long,1.0,3342.99,3329.65,signal,signal,-13.33999999999969,0.16,-13.499999999999691,83
2025-06-30 20:15:00+00:00,2025-06-30 20:45:00+00:00,long,1.0,3303.15,3305.9,signal,signal,2.75,0.16,2.59,6
2025-07-01 00:05:00+00:00,2025-07-01 04:15:00+00:00,long,1.0,3310.23,3317.39,signal,signal,7.1599999999998545,0.16,6.999999999999854,50
2025-07-02 20:05:00+00:00,2025-07-02 20:45:00+00:00,long,1.0,3356.37,3356.81,signal,signal,0.44000000000005457,0.16,0.28000000000005454,8
2025-07-03 00:05:00+00:00,2025-07-03 04:05:00+00:00,long,1.0,3358.99,3350.38,signal,signal,-8.609999999999673,0.16,-8.769999999999673,48
2025-07-07 18:15:00+00:00,2025-07-07 20:45:00+00:00,long,1.0,3331.23,3339.7,signal,signal,8.4699999999998,0.16,8.3099999999998,30
2025-07-08 00:05:00+00:00,2025-07-08 02:15:00+00:00,long,1.0,3336.63,3331.54,signal,signal,-5.0900000000001455,0.16,-5.250000000000146,26
2025-07-10 20:05:00+00:00,2025-07-10 20:45:00+00:00,long,1.0,3322.61,3323.4,signal,signal,0.7899999999999636,0.16,0.6299999999999637,8
2025-07-11 00:05:00+00:00,2025-07-11 04:05:00+00:00,long,1.0,3323.68,3333.42,signal,signal,9.740000000000236,0.16,9.580000000000236,48
2025-07-16 16:10:00+00:00,2025-07-16 20:45:00+00:00,long,1.0,3351.39,3347.07,signal,signal,-4.319999999999709,0.16,-4.479999999999709,55
2025-07-17 00:05:00+00:00,2025-07-17 00:10:00+00:00,long,1.0,3349.25,3349.11,signal,signal,-0.13999999999987267,0.16,-0.2999999999998727,1
