entry_i,entry_time,side,oz,entry_px,signal_expiry_i,exit_time,exit_px,gross_pnl,costs,net_pnl,exit_reason,bars_held
40730,1712859900,1,1.0,2355.77,40813,1712868900,2370.69,14.920000000000073,0.16,14.760000000000073,session,29
40784,1712880000,1,1.0,2373.94,40813,1712889000,2382.68,8.739999999999782,0.16,8.579999999999782,signal,30
41299,1713211200,1,1.0,2375.98,41382,1713214500,2385.69,9.710000000000036,0.16,9.550000000000036,session,10
41334,1713225600,1,1.0,2384.39,41382,1713240300,2385.87,1.4800000000000182,0.16,1.3200000000000183,signal,49
42872,1713879600,1,1.0,2313.25,42955,1713904800,2322.07,8.820000000000164,0.16,8.660000000000164,signal,84
43176,1713974700,1,1.0,2336.18,43259,1713992100,2319.24,-16.940000000000055,0.16,-17.100000000000055,session,57
43258,1714003200,1,1.0,2318.02,43259,1714003800,2317.79,-0.2300000000000182,0.16,-0.3900000000000182,signal,2
43446,1714059600,1,1.0,2342.62,43529,1714078500,2332.17,-10.449999999999818,0.16,-10.609999999999818,session,62
44539,1714576200,1,1.0,2307.35,44622,1714596900,2313.92,6.570000000000164,0.16,6.410000000000164,session,68
45070,1714743300,1,1.0,2315.22,45153,1714768500,2298.43,-16.789999999999964,0.16,-16.949999999999964,signal,84
45346,1715003100,1,1.0,2324.62,45429,1715028300,2323.81,-0.8099999999999454,0.16,-0.9699999999999455,signal,84
46167,1715261100,1,1.0,2318.82,46250,1715286300,2336.24,17.419999999999618,0.16,17.259999999999618,signal,84
46254,1715287200,1,1.0,2341.41,46337,1715288100,2343.3,1.8900000000003274,0.16,1.7300000000003275,session,2
46281,1715299200,1,1.0,2346.4,46337,1715316300,2351.55,5.150000000000091,0.16,4.990000000000091,signal,57
47268,1715780100,1,1.0,2370.83,47351,1715805300,2384.72,13.889999999999873,0.16,13.729999999999873,signal,84
47824,1715954700,1,1.0,2396.94,47907,1715978700,2416.05,19.110000000000127,0.16,18.950000000000127,session,79
48365,1716297900,1,1.0,2426.9,48448,1716323100,2424.79,-2.1100000000001273,0.16,-2.2700000000001275,signal,84
49481,1716821400,1,1.0,2355.19,49564,1716851400,2352.22,-2.9700000000002547,0.16,-3.130000000000255,data_gap,56
49548,1716854400,1,1.0,2352.17,49564,1716859500,2351.83,-0.3400000000001455,0.16,-0.5000000000001456,signal,17
49707,1716902100,1,1.0,2350.52,49790,1716927300,2356.2,5.679999999999836,0.16,5.519999999999836,signal,84
50536,1717162500,1,1.0,2349.39,50619,1717187700,2322.57,-26.81999999999971,0.16,-26.97999999999971,signal,84
50809,1717421400,1,1.0,2331.88,50892,1717446600,2345.73,13.849999999999909,0.16,13.689999999999909,signal,84
51364,1717595700,1,1.0,2343.09,51447,1717620900,2353.24,10.149999999999636,0.16,9.989999999999636,session,83
51670,1717691400,1,1.0,2374.82,51753,1717707300,2372.43,-2.3900000000003274,0.16,-2.5500000000003276,session,52
51747,1717718400,1,1.0,2377.02,51753,1717720500,2377.42,0.40000000000009095,0.16,0.24000000000009095,signal,7
52177,1718024400,1,1.0,2305.1,52260,1718049600,2310.98,5.880000000000109,0.16,5.720000000000109,signal,84
52453,1718111100,1,1.0,2309.62,52536,1718136300,2314.26,4.640000000000327,0.16,4.480000000000327,signal,84
52734,1718199300,1,1.0,2325.03,52817,1718224500,2317.49,-7.540000000000418,0.16,-7.7000000000004185,signal,84
53009,1718285700,1,1.0,2319.97,53092,1718310900,2304.71,-15.259999999999764,0.16,-15.419999999999764,signal,84
53833,1718717700,1,1.0,2317.04,53916,1718742900,2329.45,12.409999999999854,0.16,12.249999999999854,signal,84
54370,1718895600,1,1.0,2349.36,54453,1718916900,2359.64,10.279999999999745,0.16,10.119999999999745,session,70
54622,1718975100,1,1.0,2367.82,54705,1719000300,2322.73,-45.090000000000146,0.16,-45.25000000000014,signal,84
55722,1719493800,1,1.0,2319.95,55805,1719519000,2326.66,6.710000000000036,0.16,6.550000000000036,signal,84
56631,1719951300,1,1.0,2329.04,56714,1719953700,2330.81,1.7699999999999818,0.16,1.609999999999982,session,7
